Date,house_price_index_london
January 2017,118.06
February 2017,118.34
March 2017,118.02
April 2017,119.1
May 2017,119.38
June 2017,119.19
July 2017,121.27
August 2017,120.91
September 2017,120.1
October 2017,119.59
November 2017,118.23
December 2017,118.37
January 2018,119.1
February 2018,118.62
March 2018,117.25
April 2018,118.47
May 2018,118.78
June 2018,119.13
July 2018,120.32
August 2018,119.04
September 2018,118.29
October 2018,119.1
November 2018,117.8
December 2018,115.53
January 2019,116.69
February 2019,115.69
March 2019,115.22
April 2019,116.55
May 2019,115.09
June 2019,116.8
July 2019,118.78
August 2019,117.35
September 2019,118.44
October 2019,117.33
November 2019,116.36
December 2019,118.94
January 2020,118.15
February 2020,117.78
March 2020,119.8
April 2020,118.27
May 2020,116.95
June 2020,118.93
July 2020,120.1
August 2020,121.48
September 2020,122.47
October 2020,121.01
November 2020,123.26
December 2020,123.87
January 2021,124.77
February 2021,122.98
March 2021,124.19