Name,ISO,WorldRiskIndex,Exposition,Vulnerability,Susceptibility,LackCoping,LackAdaptation
Vanuatu,VUT,49.74,86.77,57.32,38.81,80.73,52.42
Tonga,TON,29.72,61.21,48.56,28.76,79.85,37.08
Dominica,DMA,28.47,62.74,45.38,26.12,71.21,38.82
Antigua and Barbuda,ATG,27.44,68.92,39.82,23.33,63.31,32.83
Solomon Islands,SLB,24.25,40.04,60.56,45.75,81.21,54.73
Guyana,GUY,22.73,44.92,50.6,27.13,77.55,47.13
Brunei Darussalam,BRN,22.3,57.61,38.7,14.75,67.99,33.35
Papua New Guinea,PNG,21.12,30.79,68.58,55.66,86.23,63.85
Philippines,PHL,20.96,42.3,49.55,28.97,80.37,39.32
Guatemala,GTM,20.09,36.52,55.02,33.09,85.21,46.76
Cape Verde,CPV,17.73,37.23,47.61,29.35,72.84,40.65
Costa Rica,CRI,17.25,43.49,39.67,20.03,68.89,30.08
Bangladesh,BGD,16.4,28.28,57.98,33.21,85.81,54.91
Djibouti,DJI,16.23,26.79,60.6,37.81,84.39,59.59
Fiji,FJI,16,34.63,46.21,21.98,76.24,40.4
Cambodia,KHM,15.76,26.8,58.82,38.94,86.94,50.57
El Salvador,SLV,15.33,31.69,48.39,24.67,78.05,42.44
Kiribati,KIR,14.94,26.05,57.36,39.27,82.77,50.04
Comoros,COM,14.88,23.77,62.6,46.02,84.45,57.34
Timor-Leste,TLS,14.67,25.85,56.74,42.33,76.49,51.41
Nicaragua,NIC,14.67,25.67,57.15,32,83.26,56.18
Haiti,HTI,14.62,21.43,68.23,51.15,90.4,63.15
Niger,NER,13.85,19.26,71.9,60.64,87.87,67.19
Guinea-Bissau,GNB,13.32,18.86,70.64,60.23,89.43,62.26
Nigeria,NGA,13.09,19.66,66.56,49.5,88.22,61.95
Cameroon,CMR,12.97,20.34,63.79,47.71,88.7,54.97
Uruguay,URY,12.54,36.29,34.56,19.23,53.85,30.6
Gambia,GMB,12.44,19.7,63.14,43.66,83.32,62.44
Jamaica,JAM,12.08,26.05,46.39,25.14,74.52,39.5
Chile,CHL,12.05,33.41,36.07,17.83,62.35,28.02
Chad,TCD,11.83,15.71,75.32,64.54,92.49,68.94
Dominican Republic,DOM,11.57,24.85,46.57,24.03,78.23,37.46
Benin,BEN,11.46,17.5,65.48,55.2,81.2,60.03
Burkina Faso,BFA,11.19,16.54,67.67,57.63,84.22,61.16
Honduras,HND,11.02,20.25,54.43,32.11,84.74,46.45
Togo,TGO,10.97,16.59,66.11,55.74,86.34,56.25
Mali,MLI,10.76,15.68,68.65,49.9,88.7,67.34
Madagascar,MDG,10.51,15.12,69.48,65.68,86.55,56.21
Angola,AGO,10.4,15.74,66.1,53.29,86.8,58.21
Kenya,KEN,10.39,16.47,63.1,52.14,86.28,50.89
Indonesia,IDN,10.39,20.97,49.54,26.03,78.02,44.56
Burundi,BDI,10.34,14.74,70.14,62.2,90.68,57.53
Viet Nam,VNM,10.3,22.02,46.76,23.88,76.63,39.78
Cote d'Ivoire,CIV,10,15.54,64.33,47.57,85.65,59.76
Senegal,SEN,9.74,16.51,58.97,44.37,78.09,54.45
Japan,JPN,9.64,38.67,24.93,17.76,39.2,17.83
Trinidad and Tobago,TTO,9.6,23.39,41.05,24.17,64.42,34.57
Sierra Leone,SLE,9.44,13.69,68.99,55.8,85.57,65.6
Liberia,LBR,9.43,13.56,69.52,56.27,87.26,65.02
Ghana,GHA,9.37,16.38,57.18,42.64,79.15,49.75
Zimbabwe,ZWE,9.32,14.62,63.76,54.37,88.76,48.15
Mozambique,MOZ,9.18,13.31,68.97,62.61,87.85,56.44
Mauritius,MUS,9.17,23.84,38.47,17.46,59.4,38.56
United Republic of Tanzania,TZA,8.96,14.01,63.95,56.78,83.38,51.68
Malawi,MWI,8.89,13.22,67.24,59.28,84.65,57.8
Democratic Republic of Congo,COD,8.77,11.8,74.28,67.78,92.95,62.12
Afghanistan,AFG,8.69,12.99,66.93,49.1,92.09,59.61
Uganda,UGA,8.63,12.82,67.29,62.55,87.98,51.34
Guinea,GIN,8.62,12.7,67.88,51.48,88.82,63.34
Albania,ALB,8.46,20.14,42,20.03,74.99,30.97
Sudan,SDN,8.45,13.13,64.39,45.14,91.82,56.21
Ecuador,ECU,8.42,17.96,46.88,25.16,75.96,39.53
Panama,PAN,7.96,18.03,44.13,23.85,72.25,36.29
Belize,BLZ,7.95,16.82,47.24,27.94,73.53,40.26
Netherlands,NLD,7.89,31.72,24.87,14.8,42.63,17.19
Bolivarian Republic of Venezuela,VEN,7.88,16.12,48.9,25.5,85.94,35.27
Mauritania,MRT,7.85,12.55,62.51,38.87,87.15,61.51
Uzbekistan,UZB,7.82,16.17,48.39,29.48,75.83,39.87
Ethiopia,ETH,7.82,11.68,66.93,56.77,86.52,57.49
Zambia,ZMB,7.81,12.15,64.3,61.54,83.44,47.92
Central African Republic,CAF,7.79,10.2,76.34,70.83,90.88,67.32
Malaysia,MYS,7.71,19.05,40.46,16.9,70.89,33.59
Federated States of Micronesia,FSM,7.59,14.95,50.77,31.79,72.13,48.39
Sri Lanka,LKA,7.57,15.99,47.32,22.82,77.3,41.83
Rwanda,RWA,7.56,12.3,61.5,52.28,79.85,52.38
Algeria,DZA,7.55,16.51,45.75,20.97,76.97,39.3
Suriname,SUR,7.4,15.41,48.04,28.66,72.96,42.5
Kyrgyzstan,KGZ,7.3,16.46,44.33,25.23,75.63,32.14
Equatorial Guinea,GNQ,7.26,12.77,56.83,40.48,86.37,43.64
Greece,GRC,7.25,22.89,31.66,17.15,60.79,17.04
Myanmar,MMR,7.18,12.96,55.39,28.97,85.82,51.38
Montenegro,MNE,6.93,18.12,38.24,18.71,68.42,27.59
Republic of Congo,COG,6.81,10.65,63.91,53.92,88.58,49.24
Eritrea,ERI,6.77,9.65,70.17,61.46,89.51,59.53
Gabon,GAB,6.73,13,51.74,32.07,75.88,47.28
Lesotho,LSO,6.71,11.16,60.17,44.48,81.79,54.23
Pakistan,PAK,6.68,11.74,56.89,33.13,84.81,52.73
Colombia,COL,6.65,14.65,45.38,22.73,77.45,35.97
India,IND,6.62,12.51,52.94,32.08,78.15,48.6
Thailand,THA,6.54,14.81,44.13,17.52,78.63,36.25
Swaziland,SWZ,6.42,11.12,57.72,41.73,83.05,48.38
South Africa,ZAF,6.37,13.37,47.65,30.75,72.82,39.38
Peru,PER,6.37,14.14,45.08,26.39,76.03,32.83
Namibia,NAM,6.21,11.36,54.66,42.5,74.13,47.36
Syrian Arab Republic,SYR,6.03,10.8,55.87,27.47,91.02,49.13
Iraq,IRQ,5.99,10.78,55.59,26.6,87.72,52.44
Mexico,MEX,5.97,14.09,42.39,20.96,73.91,32.3
Samoa,WSM,5.87,12.19,48.13,25.4,79.66,39.33
Romania,ROU,5.86,15.41,38.03,19.49,64.6,30
Cuba,CUB,5.84,16.53,35.34,19.48,53.67,32.86
China,CHN,5.84,14.3,40.85,20.98,72.07,29.5
Tajikistan,TJK,5.83,11.99,48.63,32,77.09,36.81
Morocco,MAR,5.82,12.14,47.91,24.7,79.02,40
North Macedonia,MKD,5.81,14.48,40.12,18.88,70.23,31.25
Armenia,ARM,5.73,14.55,39.37,20.21,69.22,28.67
Georgia,GEO,5.72,14.58,39.23,22.56,63.77,31.36
Azerbaijan,AZE,5.72,14.31,39.98,17.8,71.43,30.71
Tunisia,TUN,5.7,13.06,43.67,17.73,75.46,37.82
Yemen,YEM,5.68,8.13,69.87,46.1,93.8,69.72
Turkmenistan,TKM,5.66,12.25,46.22,27.29,73.18,38.18
Seychelles,SYC,5.31,12.53,42.39,18.07,67.13,41.97
Lebanon,LBN,5.27,11.43,46.08,20.31,78.98,38.95
Serbia,SRB,5.25,13.41,39.17,22.01,67.8,27.71
New Zealand,NZL,5.11,17.73,28.81,16.16,48.57,21.7
Hungary,HUN,5.07,15.24,33.28,16.01,58.65,25.19
Turkey,TUR,5.03,12.29,40.96,18.17,72.92,31.8
Islamic Republic of Iran,IRN,5.03,10.96,45.85,19.78,83.24,34.53
Brazil,BRA,4.91,11.33,43.33,22.57,76.28,31.14
Bosnia and Herzegovina,BIH,4.8,11.18,42.95,18.65,74.24,35.95
Plurinational State of Bolivia,BOL,4.78,9.56,50.01,32.36,79.97,37.71
Nepal,NPL,4.77,8.62,55.28,33.7,83.34,48.81
Italy,ITA,4.75,15.17,31.29,17.25,59.22,17.41
Saint Lucia,LCA,4.7,10.24,45.88,24.22,75.67,37.74
Australia,AUS,4.54,18.08,25.1,15.61,43.53,16.17
Ireland,IRL,4.5,16.68,26.96,15.74,47.49,17.64
Kuwait,KWT,4.48,12.43,36.01,13.04,70.36,24.63
Lao People's Democratic Republic,LAO,4.47,8.02,55.76,33.26,82.79,51.23
Bahamas,BHS,4.38,11.77,37.25,18.24,58.45,35.07
Botswana,BWA,4.2,8.82,47.59,31.46,71.97,39.35
Bulgaria,BGR,4.17,11.88,35.12,21.18,59.38,24.81
Jordan,JOR,4.13,9.18,45.04,23.57,68.27,43.28
Croatia,HRV,4.13,12.11,34.14,17.06,62.91,22.46
Republic of Moldova,MDA,4.04,9.59,42.1,22.96,68.98,34.36
United States of America,USA,3.9,12.99,30.06,15.97,52.54,21.67
Portugal,PRT,3.66,11.62,31.54,16.76,54.68,23.17
Spain,ESP,3.61,11.74,30.77,16.07,57.42,18.82
Kazakhstan,KAZ,3.58,9.54,37.54,17.09,66.62,28.92
Russian Federation,RUS,3.55,9.59,37.04,18.43,64.88,27.8
Argentina,ARG,3.5,9.55,36.7,20.78,58.91,30.41
United Kingdom of Great Britain and Northern Ireland,GBR,3.46,12.58,27.53,16.42,47.07,19.09
Slovenia,SVN,3.41,11.39,29.91,14.72,55.73,19.27
Libyan Arab Jamahiriya,LBY,3.41,7.38,46.23,21.93,82.5,34.25
Paraguay,PRY,3.38,7.04,47.99,24.04,79.15,40.79
Slovakia,SVK,3.37,10.1,33.33,14.54,60.79,24.66
United Arab Emirates,ARE,3.3,10.99,30.01,9.55,54.61,25.86
Republic of Korea,KOR,3.14,11.32,27.74,13.52,49.41,20.29
Austria,AUT,3.06,13.19,23.18,14.08,40.1,15.35
Poland,POL,3.04,9.45,32.14,15.34,58.82,22.27
Czech Republic,CZE,3,10.77,27.89,14.77,48.08,20.83
Latvia,LVA,2.99,8.81,33.9,18.6,59.63,23.48
Cyprus,CYP,2.99,8.42,35.57,15.15,67.16,24.4
Mongolia,MNG,2.97,6.89,43.15,28.4,65.43,35.62
Bhutan,BTN,2.97,6.27,47.4,24.17,72.82,45.2
Israel,ISR,2.95,8.35,35.27,18.54,64.7,22.57
Bahrain,BHR,2.91,7.33,39.64,15.57,76,27.36
Canada,CAN,2.79,10.36,26.89,15.17,46.73,18.77
Oman,OMN,2.76,6.7,41.18,22.49,66.58,34.48
Ukraine,UKR,2.75,6.91,39.76,19.65,67.43,32.19
Denmark,DNK,2.74,11.85,23.12,14.91,39.13,15.31
Belarus,BLR,2.67,7.96,33.5,16.49,58.67,25.33
Belgium,BEL,2.66,11.38,23.37,14.79,40.74,14.59
Germany,DEU,2.63,11.52,22.81,14.98,37.36,16.08
Sao Tome and Principe,STP,2.58,4.55,56.74,46.44,76.64,47.13
Singapore,SGP,2.57,8.87,28.97,11.29,54.03,21.6
Norway,NOR,2.52,10.83,23.25,13.92,38.49,17.34
Luxembourg,LUX,2.5,9.56,26.18,12.4,46.1,20.03
France,FRA,2.47,9.62,25.66,16.61,44.14,16.22
Lithuania,LTU,2.26,7.37,30.71,17.98,53.11,21.04
Sweden,SWE,2.2,8.82,24.96,15.6,41.19,18.08
Switzerland,CHE,2.15,9.01,23.9,13.91,38.46,19.32
Maldives,MDV,2.12,4.77,44.4,17.45,76.51,39.23
Estonia,EST,2.03,6.52,31.11,16.44,55.21,21.68
Finland,FIN,1.96,8.22,23.8,15.66,39.81,15.93
Egypt,EGY,1.78,3.72,47.98,22.01,82.39,39.54
Iceland,ISL,1.69,7.12,23.79,14.1,42.32,14.94
Barbados,BRB,1.39,3.66,37.94,20.56,60.62,32.65
Saudi Arabia,SAU,1.04,2.89,36.07,13.62,68.03,26.57
Grenada,GRD,0.97,2.21,43.8,26.83,68.9,35.67
Saint Vincent and the Grenadines,VCT,0.81,1.85,43.79,28.2,71.77,31.39
Malta,MLT,0.66,2.26,29.01,14.91,51.67,20.44
Qatar,QAT,0.31,0.91,34.33,8.32,64.58,30.08
