name,currency,TER,ISIN,url
UBS (CH) Strategy Fund - Yield Sustainable (EUR) P,EUR,1.54,CH0000474533,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11471
UBS (CH) Strategy Fund - Balanced Sustainable (EUR) P,EUR,1.72,CH0000474541,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11472
UBS (CH) Equity Fund - Emerging Asia (USD) P,USD,2.36,CH0000966991,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11494
UBS (CH) Equity Fund - Small Caps Europe (EUR) P,EUR,1.95,CH0000967031,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11509
UBS (CH) Equity Fund - Mid Caps Switzerland (CHF) P,CHF,1.8,CH0001117248,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11505
UBS (CH) Equity Fund - US Sustainable (USD) P,USD,1.66,CH0002788401,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11515
UBS (CH) Equity Fund - Global Opportunity (USD) P,USD,2.05,CH0002788500,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11500
UBS (CH) Bond Fund - Global (CHF) P,CHF,1.16,CH0002788526,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11484
UBS (CH) Equity Fund - Asia (USD) P,USD,1.82,CH0002788708,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11490
UBS 100 Index-Fund Switzerland (CHF) P,CHF,0.27,CH0002788807,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11489
UBS (CH) Equity Fund - European Opportunity (EUR) P,EUR,2.04,CH0002791702,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11498
UBS (CH) Equity Fund - Switzerland Sustainable (CHF) P,CHF,0.96,CH0002791769,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11512
UBS (CH) Bond Fund - Bonds CHF Sustainable P,CHF,0.9,CH0002791843,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11481
UBS (CH) Strategy Fund - Yield Sustainable (CHF) P,CHF,1.5,CH0002792114,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11469
UBS (CH) Strategy Fund - Balanced Sustainable (CHF) P,CHF,1.68,CH0002792122,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11470
UBS (CH) Strategy Fund - Yield Sustainable (USD) P,USD,1.52,CH0002792171,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11473
UBS (CH) Strategy Fund - Balanced Sustainable (USD) P,USD,1.72,CH0002792189,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11474
UBS (CH) Equity Fund - Small Caps Switzerland (CHF) P,CHF,1.8,CH0004311335,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11511
UBS (CH) Equity Fund - Swiss Income (CHF) P,CHF,1.5,CH0017043958,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/8024
UBS (CH) Vitainvest - World 25 Sustainable U,CHF,1.36,CH0022476466,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/23167
UBS (CH) Vitainvest - World 50 Sustainable U,CHF,1.56,CH0022476508,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/23169
UBS (CH) Vitainvest - Swiss 25 Sustainable U,CHF,1.33,CH0108526911,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/667
UBS (CH) Vitainvest - Swiss 50 Sustainable U,CHF,1.48,CH0108526986,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/668
UBS (CH) Suisse - 25 (CHF) P-dist,CHF,1.35,CH0109738986,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/33771
UBS (CH) Suisse - 45 (CHF) P-dist,CHF,1.5,CH0109738994,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/33772
UBS (CH) Suisse - 65 (CHF) P-dist,CHF,1.65,CH0109739000,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/36566
UBS (CH) Equity Fund - Swiss High Dividend (CHF) P,CHF,1.5,CH0127276381,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/37379
UBS (CH) Equity Fund - Emerging Asia (USD) (CHF hedged) P,CHF,2.41,CH0186920168,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11493
UBS (CH) Vitainvest - World 75 Sustainable U,CHF,1.67,CH0293174600,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/57941
UBS (CH) Vitainvest - Swiss 75 Sustainable U,CHF,1.58,CH0293175037,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/57942
UBS (CH) Investment Fund - Bonds CHF Ausland Passive W,CHF,0.18,CH0356496221,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75495
UBS (CH) Investment Fund - Bonds CHF Inland Medium Term Passive W,CHF,0.19,CH0356496544,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75608
UBS (CH) Investment Fund - Bonds CHF Inland Passive W,CHF,0.18,CH0356496650,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75496
UBS (CH) Investment Fund - Equities Europe Passive W,CHF,0.25,CH0356496742,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75497
UBS (CH) Investment Fund - Equities Global Passive W,CHF,0.25,CH0356507415,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75498
UBS (CH) Investment Fund - Equities Japan Passive W,CHF,0.26,CH0356548021,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75499
UBS (CH) Investment Fund - Equities USA Passive W,CHF,0.22,CH0356550415,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75502
UBS (CH) Investment Fund - Euro Bonds Passive W,EUR,0.22,CH0356561107,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/95988
UBS (CH) Investment Fund - Euro Bonds Passive (CHF) W,CHF,0.22,CH0356561453,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75531
UBS (CH) Investment Fund - Global Government Bonds Climate Risk-Adjusted Passive (CHF hedged) W,CHF,0.17,CH0356561495,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75526
UBS (CH) Investment Fund - USD Bonds Passive W,USD,0.22,CH0356568938,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/96040
UBS (CH) Investment Fund - USD Bonds Passive (CHF) W,CHF,0.22,CH0356569027,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75557
UBS (CH) Investment Fund - Equities Switzerland Passive All W,CHF,0.18,CH0356569118,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75500
UBS (CH) Investment Fund - Equities Switzerland Passive Large W,CHF,0.17,CH0356569407,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75501
UBS (CH) Investment Fund - Equities Switzerland Passive Leader W,CHF,0.18,CH0389550945,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/86852
UBS (CH) Vitainvest - World 100 Sustainable U,CHF,1.62,CH0413292308,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/102482
UBS (Lux) Money Market Fund - GBP Sustainable P-acc,GBP,0.09,LU0006277635,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12568
UBS (Lux) Money Market Fund - USD Sustainable P-acc,USD,0.15,LU0006277684,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12574
UBS (Lux) Money Market Fund - EUR Sustainable P-acc,EUR,0.07,LU0006344922,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12565
UBS (Lux) Equity Fund - European Opportunity Sustainable (EUR) P-acc,EUR,1.83,LU0006391097,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12750
UBS (Lux) Bond Fund - CHF Flexible P-dist,CHF,0.89,LU0010001286,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12592
UBS (Lux) Bond Fund - CHF Flexible P-acc,CHF,0.89,LU0010001369,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12593
UBS (Lux) Strategy Fund - Growth Sustainable (CHF) P-acc,CHF,1.91,LU0033034892,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12497
UBS (Lux) Strategy Fund - Yield Sustainable (CHF) P-dist,CHF,1.55,LU0033035352,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12493
UBS (Lux) Strategy Fund - Yield Sustainable (CHF) P-acc,CHF,1.55,LU0033035865,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12494
UBS (Lux) Strategy Fund - Growth Sustainable (EUR) P-acc,EUR,1.94,LU0033036590,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12512
UBS (Lux) Strategy Fund - Yield Sustainable (EUR) P-dist,EUR,1.53,LU0033040600,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12508
UBS (Lux) Strategy Fund - Yield Sustainable (EUR) P-acc,EUR,1.53,LU0033040782,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12509
UBS (Lux) Strategy Fund - Growth Sustainable (USD) P-acc,USD,1.94,LU0033040865,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12534
UBS (Lux) Strategy Fund - Yield Sustainable (USD) P-dist,USD,1.54,LU0033041590,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12528
UBS (Lux) Strategy Fund - Yield Sustainable (USD) P-acc,USD,1.54,LU0033043885,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12529
UBS (Lux) Bond Fund - EUR Flexible P-dist,EUR,0.98,LU0033049577,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12597
UBS (Lux) Bond Fund - EUR Flexible P-acc,EUR,0.98,LU0033050237,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12598
UBS (Lux) Money Market Fund - CHF Sustainable P-acc,CHF,0.07,LU0033502740,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11290
UBS (Lux) Bond Fund - AUD P-dist,AUD,0.88,LU0035338242,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12582
UBS (Lux) Bond Fund - AUD P-acc,AUD,0.88,LU0035338325,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12583
UBS (Lux) Equity Fund - Small Caps USA (USD) P-acc,USD,1.86,LU0038842364,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/15230
UBS (Lux) Strategy Fund - Fixed Income Sustainable (CHF) P-dist,CHF,1.17,LU0039343149,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12490
UBS (Lux) Strategy Fund - Fixed Income Sustainable (CHF) P-acc,CHF,1.17,LU0039343222,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12491
UBS (Lux) Strategy Fund - Fixed Income Sustainable (EUR) P-dist,EUR,1.18,LU0039343651,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12502
UBS (Lux) Strategy Fund - Fixed Income Sustainable (EUR) P-acc,EUR,1.18,LU0039703029,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12503
UBS (Lux) Strategy Fund - Fixed Income Sustainable (USD) P-dist,USD,1.2,LU0039703375,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12523
UBS (Lux) Strategy Fund - Fixed Income Sustainable (USD) P-acc,USD,1.2,LU0039703532,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12524
UBS (Lux) Strategy SICAV - Fixed Income Sustainable (EUR) P-acc,EUR,1.14,LU0042744747,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12505
UBS (Lux) Strategy SICAV - Fixed Income Sustainable (USD) P-acc,USD,1.14,LU0042745397,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12526
UBS (Lux) Strategy Fund - Balanced Sustainable (CHF) P-dist,CHF,1.72,LU0049785107,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12498
UBS (Lux) Strategy Fund - Balanced Sustainable (CHF) P-acc,CHF,1.72,LU0049785289,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12499
UBS (Lux) Strategy Fund - Balanced Sustainable (EUR) P-dist,EUR,1.72,LU0049785362,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12519
UBS (Lux) Strategy Fund - Balanced Sustainable (EUR) P-acc,EUR,1.72,LU0049785446,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12520
UBS (Lux) Strategy Fund - Balanced Sustainable (USD) P-dist,USD,1.72,LU0049785529,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12531
UBS (Lux) Strategy Fund - Balanced Sustainable (USD) P-acc,USD,1.72,LU0049785792,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12532
UBS (Lux) Equity Fund - Mid Caps USA (USD) P-acc,USD,1.86,LU0049842262,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12790
UBS (Lux) Equity Fund - Mid Caps Europe Sustainable (EUR) P-acc,EUR,1.95,LU0049842692,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12783
UBS (Lux) Emerging Economies Fund - Global Short Term (USD) P-acc,USD,1.27,LU0055660707,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12551
UBS (Lux) Money Market Fund - AUD Sustainable P-acc,AUD,0.09,LU0066649970,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12555
UBS (Lux) Equity Fund - China Opportunity (USD) P-acc,USD,2.4,LU0067412154,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12773
UBS (Lux) Equity Fund - Biotech (USD) P-acc,USD,2.1,LU0069152568,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12733
UBS (Lux) Equity SICAV - US Opportunity (USD) P-acc,USD,1.82,LU0070848113,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/23157
UBS (Lux) Bond SICAV - USD High Yield (USD) P-acc,USD,1.33,LU0070848972,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12671
UBS (Lux) Bond Fund - Global Flexible (CHF) P-dist,CHF,1.22,LU0071005408,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12643
UBS (Lux) Bond Fund - Global Flexible (CHF) P-acc,CHF,1.22,LU0071006638,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12644
UBS (Lux) Strategy Fund - Equity Sustainable (CHF) P-acc,CHF,2.02,LU0071007289,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12501
UBS (Lux) Equity Fund - Greater China (USD) P-acc,USD,2.39,LU0072913022,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12766
UBS (Lux) Strategy Fund - Equity Sustainable (EUR) P-acc,EUR,2.06,LU0073129206,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12515
UBS (Lux) Equity Fund - Global Sustainable (USD) P-acc,USD,1.8,LU0076532638,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/15225
UBS (Lux) Equity Fund - Tech Opportunity (USD) P-acc,USD,2.09,LU0081259029,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12801
UBS (Lux) Emerging Economies Fund - Global Bonds (USD) P-acc,USD,1.66,LU0084219863,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12696
UBS (Lux) Equity Fund - Euro Countries Opportunity Sustainable (EUR) P-acc,EUR,1.85,LU0085870433,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12776
UBS (Lux) Equity Fund - Sustainable Health Transformation (USD) P-acc,USD,2.07,LU0085953304,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12768
UBS (Lux) Bond Fund - Euro High Yield (EUR) P-dist,EUR,1.33,LU0085995990,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12632
UBS (Lux) Bond Fund - Euro High Yield (EUR) P-acc,EUR,1.33,LU0086177085,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12633
UBS (Lux) Equity Fund - Japan (JPY) P-acc,JPY,1.56,LU0098994485,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12778
UBS (Lux) Equity Fund - US Sustainable (USD) P-acc,USD,1.71,LU0098995292,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12805
UBS (Lux) Equity Fund - Emerging Markets Sustainable Leaders (USD) P-acc,USD,2,LU0106959298,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/13012
UBS (Lux) Bond Fund - Convert Europe (EUR) P-dist,EUR,1.87,LU0108060624,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12608
UBS (Lux) Bond Fund - Convert Europe (EUR) P-acc,EUR,1.87,LU0108066076,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12609
UBS (Lux) Strategy Fund - Balanced Sustainable (CHF) P-C-dist,CHF,1.72,LU0108564260,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12500
UBS (Lux) Strategy Fund - Balanced Sustainable (EUR) P-C-dist,EUR,1.72,LU0108564344,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12521
UBS (Lux) Strategy Fund - Balanced Sustainable (USD) P-C-dist,USD,1.73,LU0108564427,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12533
UBS (Lux) Money Market SICAV - EUR Sustainable P-acc,EUR,0.09,LU0142661270,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/15901
UBS (Lux) Money Market SICAV - USD Sustainable P-acc,USD,0.17,LU0146075105,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/15904
UBS (Lux) Bond SICAV - Short Term EUR Corporates Sustainable (EUR) P-acc,EUR,0.87,LU0151774626,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/18438
UBS (Lux) Bond SICAV - Short Term USD Corporates Sustainable (USD) P-acc,USD,0.87,LU0151774972,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/18427
UBS (Lux) Key Selection SICAV - European Equity Value Opportunity (EUR) P-acc,EUR,2.11,LU0153925689,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/15333
UBS (Lux) Key Selection SICAV - Global Equities (USD) P-acc,USD,2.11,LU0161942395,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/15338
UBS (Lux) Key Selection SICAV - Global Equities (USD) (EUR) P-acc,EUR,2.11,LU0161942635,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/15336
UBS (Lux) Bond SICAV - EUR Corporates Sustainable (EUR) P-acc,EUR,1.2,LU0162626096,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/14640
UBS (Lux) Bond SICAV - USD Corporates (USD) P-acc,USD,1.2,LU0172069584,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/15312
UBS (Lux) Strategy Xtra SICAV - Yield (EUR) P-acc,EUR,2,LU0186859145,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/8027
UBS (Lux) Strategy Xtra SICAV - Balanced (EUR) P-acc,EUR,2.2,LU0186859491,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/8030
UBS (Lux) Strategy Xtra SICAV - Yield (CHF) P-acc,CHF,1.98,LU0186859905,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/8092
UBS (Lux) Strategy Xtra SICAV - Balanced (CHF) P-acc,CHF,2.17,LU0186860077,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/8022
UBS (Lux) Key Selection SICAV - Global Allocation (USD) P-acc,USD,2.29,LU0197216392,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/28187
UBS (Lux) Key Selection SICAV - Global Allocation (EUR) P-acc,EUR,2.1,LU0197216558,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/19643
UBS (Lux) Key Selection SICAV - Global Allocation (CHF) P-acc,CHF,2.3,LU0197216715,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/19756
UBS (Lux) Equity SICAV - USA Growth (USD) P-acc,USD,2.11,LU0198837287,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/19123
UBS (Lux) Equity SICAV - Small Caps Europe Sustainable (EUR) P-acc,EUR,2,LU0198839143,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/19130
UBS (Lux) Strategy Xtra SICAV - Yield (USD) P-acc,USD,2,LU0200190857,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/20566
UBS (Lux) Strategy Xtra SICAV - Balanced (USD) P-acc,USD,2.22,LU0200191152,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/20564
UBS (Lux) Bond SICAV - Convert Global (EUR) P-acc,EUR,1.88,LU0203937692,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/19744
UBS (Lux) Key Selection SICAV - Dynamic Alpha (USD) P-acc,USD,1.98,LU0218832805,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/21831
UBS (Lux) SICAV 2 - EUR Corporates Active Climate Aware (EUR) P-acc,EUR,1.22,LU0224519792,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/20702
UBS (Lux) SICAV 2 - CHF Bond Sustainable (CHF) P-acc,CHF,0.98,LU0224520295,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/20701
UBS (Lux) SICAV 2 - USD Corporates Active Climate Aware (USD) P-acc,USD,1.22,LU0224520535,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/20703
UBS (Lux) SICAV 2 - Low Duration EUR Bond Sustainable (EUR) P-acc,EUR,0.13,LU0224521939,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/21907
UBS (Lux) SICAV 2 - Low Duration USD Bond Sustainable (USD) P-acc,USD,0.58,LU0224522077,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/21819
UBS (Lux) Strategy Xtra SICAV - Yield (EUR) P-dist,EUR,2,LU0234735347,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/8028
UBS (Lux) Strategy Xtra SICAV - Yield (CHF) P-dist,CHF,1.98,LU0234737475,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/8093
UBS (Lux) Strategy Xtra SICAV - Yield (USD) P-dist,USD,2,LU0234737715,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/87065
UBS (Lux) Strategy Xtra SICAV - Balanced (EUR) P-dist,EUR,2.2,LU0234744331,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/8031
UBS (Lux) Strategy Xtra SICAV - Balanced (CHF) P-dist,CHF,2.17,LU0234744687,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/8023
UBS (Lux) Strategy Xtra SICAV - Balanced (USD) P-dist,USD,2.22,LU0234745577,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/20565
UBS (Lux) Key Selection SICAV - Asian Equities (USD) P-acc,USD,2.11,LU0235996351,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/23162
UBS (Lux) Equity SICAV - US Opportunity (USD) (EUR hedged) P-acc,EUR,1.88,LU0236040357,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/23159
UBS (Lux) Key Selection SICAV - Asian Equities (USD) (GBP) P-dist,GBP,2.11,LU0246169758,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/23163
UBS (Lux) Bond SICAV - Convert Global (EUR) P-dist,EUR,1.87,LU0315165794,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/19725
UBS (Lux) Equity SICAV - Global Emerging Markets Opportunity (USD) P-acc,USD,2,LU0328353924,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/29530
UBS (Lux) SICAV 1 - All-Rounder (USD) P-acc,USD,1.51,LU0397594465,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/30790
UBS (Lux) SICAV 1 - All-Rounder (USD) (CHF hedged) P-acc,CHF,1.56,LU0397599340,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/30792
UBS (Lux) SICAV 1 - All-Rounder (USD) (EUR hedged) P-acc,EUR,1.56,LU0397605766,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/30791
UBS (Lux) Equity SICAV - US Opportunity (USD) P-dist,USD,1.83,LU0399005999,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/23155
UBS (Lux) Equity Fund - Global Sustainable (USD) (EUR) P-dist,EUR,1.8,LU0401296933,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/15222
UBS (Lux) Equity Fund - Emerging Markets Sustainable Leaders (USD) (SGD) P-acc,SGD,1.99,LU0443062806,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/13004
UBS (Lux) Bond SICAV - Global Inflation-linked (USD) P-acc,USD,0.98,LU0455550201,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/32371
UBS (Lux) Bond SICAV - Global Inflation-linked (USD) (CHF hedged) P-acc,CHF,1.01,LU0455553486,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/32373
UBS (Lux) Bond SICAV - Global Inflation-linked (USD) (EUR hedged) P-acc,EUR,1.03,LU0455556406,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/32372
UBS (Lux) Bond Fund - Asia Flexible (USD) P-acc,USD,1.37,LU0464244333,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/33040
UBS (Lux) Bond Fund - Asia Flexible (USD) (SGD hedged) P-acc,SGD,1.43,LU0464247518,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/33048
UBS (Lux) Bond Fund - Global Flexible (EUR hedged) P-dist,EUR,1.27,LU0487186123,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12638
UBS (Lux) Bond Fund - Global Flexible (EUR hedged) P-acc,EUR,1.27,LU0487186396,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12637
UBS (Lux) Bond SICAV - Convert Global (EUR) (CHF hedged) P-acc,CHF,1.92,LU0499399144,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/19728
UBS (Lux) Equity Fund - Greater China (USD) (SGD) P-acc,SGD,2.4,LU0501845795,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12760
UBS (Lux) Emerging Economies Fund - Global Bonds (USD) (CHF hedged) P-dist,CHF,1.7,LU0505553213,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12680
UBS (Lux) Emerging Economies Fund - Global Short Term (USD) (EUR hedged) P-dist,EUR,1.32,LU0509218086,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12538
UBS (Lux) Emerging Economies Fund - Global Short Term (USD) (EUR hedged) P-acc,EUR,1.31,LU0509218169,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/12539
